instance_size,vcpus
large,2
xlarge,4
2xlarge,8
3xlarge,12
4xlarge,16
6xlarge,24
8xlarge,32
9xlarge,36
10xlarge,40
12xlarge,48
16xlarge,64
18xlarge,72
24xlarge,96
32xlarge,128
48xlarge,192
DS3 v2,4
DS4 v2,8
DS5 v2,16
D3 v2,4
D4 v2,8
D5 v2,16
D4s v3,4
D8s v3,8
D16s v3,16
D32s v3,32
D64s v3,64
D8 v3,8
D16 v3,16
D32 v3,32
D64 v3,64
D8as v4,8
D16as v4,16
D32as v4,32
D48as v4,48
D64as v4,64
D96as v4,96
D4a v4,4
D8a v4,8
D16a v4,16
D32a v4,32
D48a v4,48
D64a v4,64
D96a v4,96
D4ds v4,4
D8ds v4,8
D16ds v4,16
D32ds v4,32
D48ds v4,48
D64ds v4,64
D4ads v5,4
D8ads v5,8
D16ads v5,16
D32ads v5,32
D48ads v5,48
D64ads v5,64
D96ads v5,96
D4as v5,4
D8as v5,8
D16as v5,16
D32as v5,32
D48as v5,48
D64as v5,64
D96as v5,96
D4ds v5,4
D8ds v5,8
D16ds v5,16
D32ds v5,32
D48ds v5,48
D64ds v5,64
D96ds v5,96
D4d v4,4
D8d v4,8
D16d v4,16
D32d v4,32
D48d v4,48
D64d v4,64
D4s v5,4
D8s v5,8
D16s v5,16
D32s v5,32
D48s v5,48
D64s v5,64
D96s v5,96
DS12 v2,4
DS13 v2,8
DS14 v2,16
DS15 v2,20
D12 v2,4
D13 v2,8
D14 v2,16
D15 v2,20
E4as v4,4
E8as v4,8
E16as v4,16
E20as v4,20
E32as v4,32
E48as v4,48
E64as v4,64
E96as v4,96
E4as v5,4
E8as v5,8
E16as v5,16
E20as v5,20
E32as v5,32
E48as v5,48
E64as v5,64
E96as v5,96
E4ads v5,4
E8ads v5,8
E16ads v5,16
E20ads v5,20
E32ads v5,32
E48ads v5,48
E64ads v5,64
E96ads v5,96
E8s v3,8
E16s v3,16
E32s v3,32
E64s v3,64
E8 v3,8
E16 v3,16
E32 v3,32
E64 v3,64
E4a v4,4
E8a v4,8
E16a v4,16
E20a v4,20
E32a v4,32
E48a v4,48
E64a v4,64
E96a v4,96
E4ds v4,4
E8ds v4,8
E16ds v4,16
E20ds v4,20
E32ds v4,32
E48ds v4,48
E64ds v4,64
E80ids v4,80
E4ds v5,4
E8ds v5,8
E16ds v5,16
E20ds v5,20
E32ds v5,32
E48ds v5,48
E64ds v5,64
E96ds v5,96
E4d v4,4
E8d v4,8
E16d v4,16
E20d v4,20
E32d v4,32
E48d v4,48
E64d v4,64
E4s v4,4
E8s v4,8
E16s v4,16
E20s v4,20
E32s v4,32
E48s v4,48
E64s v4,64
E80is v4,80
E4s v5,4
E8s v5,8
E16s v5,16
E20s v5,20
E32s v5,32
E48s v5,48
E64s v5,64
E96s v5,96
L4s,4
L8s,8
L16s,16
L32s,32
L8s v2,8
L16s v2,16
L32s v2,32
L64s v2,64
L80s v2,80
L8as v3,8
L16as v3,16
L32as v3,32
L48as v3,48
L64as v3,64
L80as v3,80
L8s v3,8
L16s v3,16
L32s v3,32
L48s v3,48
L64s v3,64
L80s v3,80
F4s v2,4
F8s v2,8
F16s v2,16
F32s v2,32
F64s v2,64
F72s v2,72
F4,4
F8,8
F16,16
F4s,4
F8s,8
F16s,16
NC12,12
NC24,24
NC24ads A100 v4,24
NC48ads A100 v4,48
NC96ads A100 v4,96
NC4as T4 v3,4
NC8as T4 v3,8
NC16as T4 v3,16
NC64as T4 v3,64
NC6s v3,6
NC12s v3,12
NC24s v3,24
ND96asr A100 v4,96
NV36ads A10 v5,36
NV36adms A10 v5,36
NV72ads A10 v5,72
DC4as v5,4
DC8as v5,8
DC16as v5,16
DC32as v5,32
EC8as v5,8
EC16as v5,16
EC32as v5,32
EC8ads v5,8
EC16ads v5,16
EC32ads v5,32
